0,1,2
0,Q0050,0
1,Q0080,0
2,Q0085,0
3,Q0130,0
4,Q0250,0
5,Q0275,0
6,R0020C,0
7,R0030W,0
8,YAL001C,1
9,YAL002W,0
10,YAL003W,1
11,YAL004W,0
12,YAL005C,0
13,YAL007C,0
14,YAL009W,0
15,YAL010C,0
16,YAL011W,0
17,YAL012W,1
18,YAL013W,0
19,YAL014C,0
20,YAL015C,0
21,YAL016W,0
22,YAL017W,0
23,YAL018C,0
24,YAL019W,0
25,YAL021C,0
26,YAL022C,0
27,YAL023C,0
28,YAL024C,0
29,YAL025C,1
30,YAL026C,0
31,YAL027W,0
32,YAL028W,0
33,YAL029C,0
34,YAL030W,0
35,YAL031C,0
36,YAL032C,1
37,YAL033W,1
38,YAL034C,0
39,YAL034W-A,1
40,YAL035W,1
41,YAL036C,0
42,YAL038W,1
43,YAL040C,0
44,YAL041W,1
45,YAL042W,0
46,YAL043C,1
47,YAL045C,0
48,YAL047C,0
49,YAL048C,0
50,YAL049C,0
51,YAL051W,0
52,YAL053W,0
53,YAL054C,0
54,YAL055W,0
55,YAL056W,0
56,YAL058W,0
57,YAL059W,0
58,YAL060W,0
59,YAL061W,0
60,YAL062W,0
61,YAL063C-A,0
62,YAL064W,0
63,YAL064W-B,0
64,YAL066W,0
65,YAL067C,0
66,YAL069W,0
67,YAR002C-A,0
68,YAR002W,0
69,YAR003W,0
70,YAR007C,1
71,YAR008W,1
72,YAR014C,0
73,YAR018C,0
74,YAR019C,1
75,YAR023C,0
76,YAR027W,0
77,YAR028W,0
78,YAR030C,0
79,YAR031W,0
80,YAR033W,0
81,YAR035W,0
82,YAR042W,0
83,YAR047C,0
84,YAR064W,0
85,YAR066W,0
86,YAR068W,0
87,YAR069C,0
88,YAR071W,0
89,YAR073W,0
90,YBL001C,0
91,YBL002W,0
92,YBL003C,1
93,YBL004W,1
94,YBL005W,0
95,YBL005W-B,0
96,YBL006C,0
97,YBL007C,0
98,YBL008W,0
99,YBL009W,0
100,YBL010C,0
101,YBL013W,0
102,YBL014C,1
103,YBL015W,0
104,YBL016W,0
105,YBL017C,0
106,YBL018C,1
107,YBL019W,0
108,YBL020W,1
109,YBL021C,0
110,YBL022C,0
111,YBL023C,1
112,YBL024W,0
113,YBL025W,0
114,YBL026W,1
115,YBL027W,0
116,YBL029W,0
117,YBL030C,1
118,YBL031W,0
119,YBL032W,0
120,YBL033C,0
121,YBL034C,1
122,YBL035C,1
123,YBL036C,0
124,YBL037W,0
125,YBL038W,0
126,YBL039C,0
127,YBL040C,1
128,YBL041W,1
129,YBL042C,0
130,YBL043W,0
131,YBL044W,0
132,YBL045C,0
133,YBL046W,0
134,YBL047C,0
135,YBL049W,0
